Defect_ID,Title,Created_Date,Created_By,Priority,Severity,Status,Triage_Category,Triage_Assignment,Director,Assignee,Component,Target_Release,Found_In_Release,Last_Updated_Date,Resolution
ROCm-1107,Compiler (rocm-llvm: Kernel launch overhead increased by 2x in ROCm 6.1,2026-01-27,Carlos Rivera,High,S2 - Critical,In Progress,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,David Kim,Compiler,ROCm 6.4,ROCm 6.1,2026-01-27,
ROCm-1108,MIOpen: ROCm-SMI reports wrong temperature for MI250,2025-09-27,Marcus Johnson,Medium,S3 - Major,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,ROCm 6.4,ROCm 6.1,2025-11-26,
ROCm-1109,rocSPARSE: Documentation missing for rocsparseDcsrmv edge cases,2025-10-01,Mei Liu,Medium,S3 - Major,Resolved,rocSPARSE,Math Libraries Team,Kumar,Suman Dey,rocSPARSE,Backlog,ROCm 6.1,2026-01-23,Duplicate
ROCm-1110,HIP Runtime: Kernel launch overhead increased by 2x in ROCm 6.2,2026-02-03,Jake Thompson,Critical,S2 - Critical,In Progress,HIP Runtime,Runtime Team,SAM,Mei Liu,HIP Runtime,ROCm 6.2,ROCm 6.2,2026-02-04,
ROCm-1111,MIOpen: Incorrect result from rocsparseDcsrmv for large tensors,2026-02-28,Fatima Al-Zahra,Low,S4 - Minor,Closed,MIOpen,Math Libraries Team,Kumar,Priya Sharma,MIOpen,Backlog,ROCm 6.3,2026-02-28,Won't Fix
ROCm-1112,Documentation: rocFFT output NaN for specific input dimensions,2025-11-21,Jake Thompson,Medium,S4 - Minor,In Progress,Documentation,Documentation Team,Ravi,Priya Sharma,Documentation,Backlog,ROCm 6.3,2026-01-15,
ROCm-1113,rocSPARSE: RCCL AllReduce giving wrong result with 8 GPUs,2025-10-24,Tyler Brooks,Medium,S3 - Major,In Progress,rocSPARSE,Math Libraries Team,Kumar,Tyler Brooks,rocSPARSE,ROCm 6.4,ROCm 6.3,2026-02-03,
ROCm-1114,rocSPARSE: Performance regression after upgrading to ROCm 6.1,2025-11-03,Yuki Tanaka,Medium,S3 - Major,Resolved,rocSPARSE,Math Libraries Team,Kumar,Priya Sharma,rocSPARSE,ROCm 6.4,ROCm 6.1,2025-11-11,Fixed
ROCm-1115,RCCL (Comms): Kernel launch overhead increased by 2x in ROCm 6.2,2026-01-19,Fatima Al-Zahra,Critical,S2 - Critical,Resolved,RCCL (Comms),Runtime Team,SAM,Ivan Petrov,RCCL,ROCm 6.4,ROCm 6.2,2026-02-10,Cannot Reproduce
ROCm-1116,rocSPARSE: Kernel launch overhead increased by 2x in ROCm 6.2,2025-09-25,Ivan Petrov,Medium,S3 - Major,Open,rocSPARSE,Math Libraries Team,Kumar,,rocSPARSE,Backlog,ROCm 6.2,2025-11-21,
ROCm-1117,rocFFT: HIP event timing reports negative duration,2025-09-28,David Kim,Low,S4 - Minor,Resolved,rocFFT,Math Libraries Team,Kumar,Alex Chen,rocFFT,ROCm 6.2,ROCm 6.1,2026-02-17,By Design
ROCm-1118,MIOpen: ROCm-SMI reports wrong temperature for MI250,2025-11-07,Priya Sharma,Medium,S4 - Minor,Closed,MIOpen,Math Libraries Team,Kumar,Marcus Johnson,MIOpen,ROCm 6.3,ROCm 6.3,2025-11-07,Won't Fix
ROCm-1119,ROCm-SMI: API rocblas_gemm not returning expected error code,2026-02-08,David Kim,Low,S4 - Minor,Resolved,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Tyler Brooks,ROCm-SMI,ROCm 6.4,ROCm 6.3,2026-02-20,Cannot Reproduce
ROCm-1120,Driver: Crash observed on MI300X when calling hipStreamCreate,2026-01-29,David Kim,High,S2 - Critical,Open,Driver / KFD,Driver Team,SAM,,Driver,ROCm 7.0,ROCm 6.3,2026-02-17,
ROCm-1121,ROCm-SMI: API hipGraphCreate not returning expected error code,2025-12-16,David Kim,Medium,S4 - Minor,In Progress,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Priya Sharma,ROCm-SMI,Backlog,ROCm 6.2,2026-02-19,
ROCm-1122,Documentation: Crash observed on MI300X when calling miopen_conv,2026-01-11,Aisha Patel,Medium,S3 - Major,Open,Documentation,Documentation Team,Ravi,,Documentation,ROCm 6.3,ROCm 6.2,2026-01-14,
ROCm-1123,RCCL (Comms): Hang detected in multi-GPU hipDeviceSynchronize launch,2025-11-12,Aisha Patel,Medium,S3 - Major,In Progress,RCCL (Comms),Runtime Team,SAM,Marcus Johnson,RCCL,Backlog,ROCm 6.3,2025-12-04,
ROCm-1124,ROCm Debugger (ROCgdb): Crash observed on MI300X when calling rocblas_trsm,2026-02-17,Ivan Petrov,Low,S4 - Minor,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Tyler Brooks,ROCm Debugger,ROCm 6.4,ROCm 6.3,2026-02-17,
ROCm-1125,RCCL (Comms): Memory leak in rocsparseDcsrmv under stress workload,2025-12-17,Ivan Petrov,Medium,S4 - Minor,In Progress,RCCL (Comms),Runtime Team,SAM,Rania Hassan,RCCL,ROCm 6.4,ROCm 6.1,2025-12-19,
ROCm-1126,RCCL (Comms): Hang detected in multi-GPU rccl_allreduce launch,2025-12-19,Rania Hassan,Low,S4 - Minor,In Progress,RCCL (Comms),Runtime Team,SAM,Priya Sharma,RCCL,ROCm 6.3,ROCm 6.2,2026-02-24,
ROCm-1127,ROCm-SMI: RCCL AllReduce giving wrong result with 8 GPUs,2025-10-12,Aisha Patel,Critical,S1 - Blocker,In Review,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Rania Hassan,ROCm-SMI,ROCm 6.2,ROCm 6.1,2026-01-09,
ROCm-1128,Performance: Installer fails silently on RHEL 9.x,2025-11-03,Mei Liu,High,S2 - Critical,Resolved,Performance / Profiling,Tools & Infra Team,Philips,Marcus Johnson,Performance,Backlog,ROCm 6.3,2025-11-12,Cannot Reproduce
ROCm-1129,Performance: Performance regression after upgrading to ROCm 6.2,2026-02-08,Jake Thompson,Low,S4 - Minor,Closed,Performance / Profiling,Tools & Infra Team,Philips,Marcus Johnson,Performance,ROCm 6.4,ROCm 6.2,2026-02-18,Cannot Reproduce
ROCm-1130,rocSPARSE: API rccl_allreduce not returning expected error code,2026-01-28,Jake Thompson,Critical,S1 - Blocker,In Progress,rocSPARSE,Math Libraries Team,Kumar,Alex Chen,rocSPARSE,ROCm 6.2,ROCm 6.3,2026-01-30,
ROCm-1131,Driver: Crash observed on MI300X when calling rocblas_trsm,2026-01-29,Jake Thompson,Medium,S4 - Minor,In Review,Driver / KFD,Driver Team,SAM,Leila Nouri,Driver,ROCm 6.3,ROCm 6.2,2026-02-21,
ROCm-1132,rocSPARSE: RCCL AllReduce giving wrong result with 8 GPUs,2026-01-31,Jake Thompson,Medium,S3 - Major,Won't Fix,rocSPARSE,Math Libraries Team,Kumar,Suman Dey,rocSPARSE,ROCm 6.3,ROCm 6.1,2026-02-03,Duplicate
ROCm-1133,Documentation: API rccl_allreduce not returning expected error code,2025-11-01,Tyler Brooks,Medium,S4 - Minor,In Review,Documentation,Documentation Team,Ravi,Rania Hassan,Documentation,ROCm 6.4,ROCm 6.3,2025-11-21,
ROCm-1134,ROCBlas: rocgdb breakpoints not hitting in device code,2026-01-30,David Kim,Critical,S2 - Critical,Open,ROCBlas / Math Libraries,Math Libraries Team,Kumar,,ROCBlas,Backlog,ROCm 6.1,2026-02-16,
ROCm-1135,ROCm Installer: Memory leak in rocsparseDcsrmv under stress workload,2025-11-23,Priya Sharma,High,S2 - Critical,Closed,ROCm Installer / Packaging,Release Engineering,Suma,Yuki Tanaka,ROCm Installer,ROCm 6.4,ROCm 6.3,2026-02-14,Cannot Reproduce
ROCm-1136,Performance: Documentation missing for hipFFT_plan edge cases,2025-12-04,Rania Hassan,Medium,S4 - Minor,Resolved,Performance / Profiling,Tools & Infra Team,Philips,Priya Sharma,Performance,ROCm 6.4,ROCm 6.1,2026-02-09,Cannot Reproduce
ROCm-1137,Compiler (rocm-llvm: Performance regression after upgrading to ROCm 6.1,2025-10-23,Carlos Rivera,Medium,S4 - Minor,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,Backlog,ROCm 6.3,2025-12-01,
ROCm-1138,Documentation: Memory leak in rocblas_gemm under stress workload,2026-01-11,Ivan Petrov,Critical,S2 - Critical,Closed,Documentation,Documentation Team,Ravi,Fatima Al-Zahra,Documentation,Backlog,ROCm 6.1,2026-01-19,Cannot Reproduce
ROCm-1139,ROCm-SMI: rocFFT output NaN for specific input dimensions,2025-12-20,Carlos Rivera,Critical,S2 - Critical,Resolved,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Fatima Al-Zahra,ROCm-SMI,ROCm 6.3,ROCm 6.2,2026-02-14,Duplicate
ROCm-1140,Documentation: rocFFT output NaN for specific input dimensions,2025-12-28,Carlos Rivera,Low,S4 - Minor,In Progress,Documentation,Documentation Team,Ravi,Mei Liu,Documentation,Backlog,ROCm 6.2,2026-01-25,
ROCm-1141,HIP Runtime: Documentation missing for hipLaunchKernelGGL edge cases,2025-10-10,Ivan Petrov,Low,S4 - Minor,Closed,HIP Runtime,Runtime Team,SAM,Ivan Petrov,HIP Runtime,Backlog,ROCm 6.1,2026-02-10,Duplicate
ROCm-1142,rocFFT: Kernel launch overhead increased by 2x in ROCm 6.1,2025-11-10,Leila Nouri,High,S2 - Critical,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,ROCm 6.3,ROCm 6.2,2025-11-28,
ROCm-1143,rocFFT: Build failure on Ubuntu 22.04 with ROCm 6.1,2025-11-27,Rania Hassan,Low,S4 - Minor,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,ROCm 6.3,ROCm 6.1,2026-01-13,
ROCm-1144,Compiler (rocm-llvm: RCCL AllReduce giving wrong result with 8 GPUs,2025-11-19,Mei Liu,Low,S4 - Minor,Resolved,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,David Kim,Compiler,ROCm 7.0,ROCm 6.3,2025-11-23,Cannot Reproduce
ROCm-1145,Compiler (rocm-llvm: RCCL AllReduce giving wrong result with 8 GPUs,2025-08-31,Tyler Brooks,Low,S4 - Minor,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,ROCm 6.2,ROCm 6.2,2026-01-18,
ROCm-1146,Performance: ROCm-SMI reports wrong temperature for MI250,2025-10-29,Priya Sharma,Medium,S3 - Major,Open,Performance / Profiling,Tools & Infra Team,Philips,,Performance,ROCm 7.0,ROCm 6.3,2026-02-07,
ROCm-1147,ROCm Installer: API miopen_conv not returning expected error code,2026-01-14,Tyler Brooks,Critical,S1 - Blocker,Resolved,ROCm Installer / Packaging,Release Engineering,Suma,Alex Chen,ROCm Installer,ROCm 6.3,ROCm 6.3,2026-02-10,By Design
ROCm-1148,rocFFT: Documentation missing for hipDeviceSynchronize edge cases,2026-02-17,Alex Chen,High,S3 - Major,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,ROCm 7.0,ROCm 6.2,2026-02-25,
ROCm-1149,HIP Runtime: rocFFT output NaN for specific input dimensions,2025-09-10,Aisha Patel,Medium,S4 - Minor,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,ROCm 6.2,ROCm 6.3,2025-12-10,
ROCm-1150,Performance: rocFFT output NaN for specific input dimensions,2025-11-23,Yuki Tanaka,High,S3 - Major,In Review,Performance / Profiling,Tools & Infra Team,Philips,Ivan Petrov,Performance,ROCm 7.0,ROCm 6.3,2025-12-15,
ROCm-1151,rocSPARSE: Crash observed on MI300X when calling miopen_conv,2025-10-15,Rania Hassan,Low,S4 - Minor,Resolved,rocSPARSE,Math Libraries Team,Kumar,David Kim,rocSPARSE,ROCm 6.4,ROCm 6.3,2025-10-24,Won't Fix
ROCm-1152,Driver: Incorrect result from hipFFT_plan for large tensors,2025-12-09,Ivan Petrov,Low,S4 - Minor,Open,Driver / KFD,Driver Team,SAM,,Driver,ROCm 6.4,ROCm 6.2,2026-01-02,
ROCm-1153,ROCm Debugger (ROCgdb): API rocblas_gemm not returning expected error code,2025-09-30,Yuki Tanaka,Low,S4 - Minor,Closed,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Leila Nouri,ROCm Debugger,ROCm 7.0,ROCm 6.2,2026-01-20,Cannot Reproduce
ROCm-1154,ROCBlas: Documentation missing for rccl_allreduce edge cases,2026-01-09,Priya Sharma,High,S2 - Critical,Resolved,ROCBlas / Math Libraries,Math Libraries Team,Kumar,Fatima Al-Zahra,ROCBlas,ROCm 6.2,ROCm 6.2,2026-02-05,Won't Fix
ROCm-1155,RCCL (Comms): API rocblas_trsm not returning expected error code,2026-02-15,Yuki Tanaka,High,S3 - Major,Resolved,RCCL (Comms),Runtime Team,SAM,Yuki Tanaka,RCCL,ROCm 6.4,ROCm 6.3,2026-02-17,Cannot Reproduce
ROCm-1156,Performance: API hipDeviceSynchronize not returning expected error code,2025-12-19,Jake Thompson,High,S2 - Critical,Open,Performance / Profiling,Tools & Infra Team,Philips,,Performance,ROCm 6.3,ROCm 6.1,2026-02-08,
ROCm-1157,ROCBlas: rocFFT output NaN for specific input dimensions,2025-10-05,Rania Hassan,Low,S4 - Minor,Open,ROCBlas / Math Libraries,Math Libraries Team,Kumar,,ROCBlas,ROCm 7.0,ROCm 6.3,2025-12-04,
ROCm-1158,MIOpen: ROCm-SMI reports wrong temperature for MI250,2025-09-07,Rania Hassan,Medium,S4 - Minor,Won't Fix,MIOpen,Math Libraries Team,Kumar,Suman Dey,MIOpen,ROCm 7.0,ROCm 6.2,2025-12-29,Fixed
ROCm-1159,Compiler (rocm-llvm: Documentation missing for hipGraphCreate edge cases,2026-02-12,Priya Sharma,High,S2 - Critical,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,ROCm 6.4,ROCm 6.2,2026-02-27,
ROCm-1160,rocSPARSE: Kernel launch overhead increased by 2x in ROCm 6.2,2026-02-26,Marcus Johnson,Medium,S4 - Minor,Resolved,rocSPARSE,Math Libraries Team,Kumar,Priya Sharma,rocSPARSE,ROCm 7.0,ROCm 6.1,2026-02-26,Won't Fix
ROCm-1161,ROCm Debugger (ROCgdb): Incorrect result from rccl_allreduce for large tensors,2026-02-20,Yuki Tanaka,Low,S4 - Minor,Resolved,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Carlos Rivera,ROCm Debugger,ROCm 6.3,ROCm 6.2,2026-02-21,By Design
ROCm-1162,ROCm-SMI: API hipDeviceSynchronize not returning expected error code,2026-01-07,Rania Hassan,High,S2 - Critical,Resolved,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Mei Liu,ROCm-SMI,ROCm 7.0,ROCm 6.3,2026-02-26,Fixed
ROCm-1163,RCCL (Comms): Documentation missing for hipGraphCreate edge cases,2025-10-02,Ivan Petrov,Medium,S3 - Major,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,Backlog,ROCm 6.1,2026-02-01,
ROCm-1164,Performance: Memory leak in hipDeviceSynchronize under stress workload,2025-10-01,Fatima Al-Zahra,Low,S4 - Minor,In Progress,Performance / Profiling,Tools & Infra Team,Philips,Rania Hassan,Performance,ROCm 6.3,ROCm 6.1,2026-02-10,
ROCm-1165,rocFFT: Memory leak in hipFFT_plan under stress workload,2025-12-18,Aisha Patel,Medium,S3 - Major,Closed,rocFFT,Math Libraries Team,Kumar,David Kim,rocFFT,ROCm 6.4,ROCm 6.3,2026-01-06,Won't Fix
ROCm-1166,rocFFT: Memory leak in hipStreamCreate under stress workload,2025-11-10,Fatima Al-Zahra,Low,S4 - Minor,Open,rocFFT,Math Libraries Team,Kumar,,rocFFT,Backlog,ROCm 6.1,2025-12-15,
ROCm-1167,Documentation: HIP event timing reports negative duration,2026-01-05,Ivan Petrov,Medium,S3 - Major,Open,Documentation,Documentation Team,Ravi,,Documentation,Backlog,ROCm 6.1,2026-02-20,
ROCm-1168,Driver: rocgdb breakpoints not hitting in device code,2025-09-06,Leila Nouri,High,S3 - Major,Resolved,Driver / KFD,Driver Team,SAM,Tyler Brooks,Driver,Backlog,ROCm 6.2,2026-01-30,By Design
ROCm-1169,Driver: Incorrect result from rocblas_trsm for large tensors,2026-02-10,Yuki Tanaka,Low,S4 - Minor,Open,Driver / KFD,Driver Team,SAM,,Driver,ROCm 6.2,ROCm 6.1,2026-02-22,
ROCm-1170,Documentation: API hipFFT_plan not returning expected error code,2025-12-20,Ivan Petrov,Medium,S4 - Minor,Open,Documentation,Documentation Team,Ravi,,Documentation,ROCm 6.4,ROCm 6.2,2026-01-07,
ROCm-1171,rocSPARSE: Installer fails silently on RHEL 9.x,2025-10-02,Priya Sharma,Low,S4 - Minor,In Progress,rocSPARSE,Math Libraries Team,Kumar,David Kim,rocSPARSE,ROCm 6.2,ROCm 6.2,2025-11-02,
ROCm-1172,Compiler (rocm-llvm: HIP event timing reports negative duration,2025-12-06,Rania Hassan,Low,S4 - Minor,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,ROCm 6.3,ROCm 6.1,2026-01-16,
ROCm-1173,ROCm Installer: Performance regression after upgrading to ROCm 6.3,2026-01-04,Mei Liu,Low,S4 - Minor,In Progress,ROCm Installer / Packaging,Release Engineering,Suma,Alex Chen,ROCm Installer,ROCm 6.3,ROCm 6.1,2026-02-04,
ROCm-1174,Documentation: Documentation missing for hipMalloc edge cases,2026-01-26,Tyler Brooks,Medium,S3 - Major,In Progress,Documentation,Documentation Team,Ravi,David Kim,Documentation,ROCm 6.3,ROCm 6.2,2026-02-25,
ROCm-1175,HIP Runtime: Documentation missing for miopen_conv edge cases,2025-12-01,Carlos Rivera,Low,S4 - Minor,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,ROCm 6.4,ROCm 6.1,2026-02-11,
ROCm-1176,Documentation: Performance regression after upgrading to ROCm 6.2,2025-12-06,Suman Dey,Medium,S4 - Minor,Closed,Documentation,Documentation Team,Ravi,Priya Sharma,Documentation,ROCm 6.4,ROCm 6.3,2026-02-22,Won't Fix
ROCm-1177,RCCL (Comms): Crash observed on MI300X when calling rocblas_gemm,2025-12-01,Rania Hassan,Low,S4 - Minor,Resolved,RCCL (Comms),Runtime Team,SAM,Alex Chen,RCCL,ROCm 7.0,ROCm 6.3,2026-02-03,Fixed
ROCm-1178,Documentation: Hang detected in multi-GPU rocsparseDcsrmv launch,2025-12-24,Ivan Petrov,High,S2 - Critical,In Progress,Documentation,Documentation Team,Ravi,Marcus Johnson,Documentation,ROCm 6.4,ROCm 6.3,2026-02-02,
ROCm-1179,ROCm Installer: API hipFFT_plan not returning expected error code,2025-11-24,Priya Sharma,Medium,S4 - Minor,Resolved,ROCm Installer / Packaging,Release Engineering,Suma,Ivan Petrov,ROCm Installer,ROCm 7.0,ROCm 6.3,2026-01-23,Fixed
ROCm-1180,ROCm Installer: rocFFT output NaN for specific input dimensions,2025-11-16,Aisha Patel,Low,S4 - Minor,In Review,ROCm Installer / Packaging,Release Engineering,Suma,Suman Dey,ROCm Installer,ROCm 6.2,ROCm 6.3,2026-02-07,
ROCm-1181,Performance: Crash observed on MI300X when calling rocsparseDcsrmv,2025-12-30,Priya Sharma,High,S3 - Major,Open,Performance / Profiling,Tools & Infra Team,Philips,,Performance,ROCm 6.3,ROCm 6.1,2026-01-14,
ROCm-1182,ROCm-SMI: rocFFT output NaN for specific input dimensions,2025-12-20,Ivan Petrov,Medium,S3 - Major,In Progress,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,Carlos Rivera,ROCm-SMI,ROCm 6.2,ROCm 6.3,2026-02-10,
ROCm-1183,rocSPARSE: Memory leak in rocblas_trsm under stress workload,2025-10-04,Rania Hassan,Medium,S4 - Minor,Won't Fix,rocSPARSE,Math Libraries Team,Kumar,Tyler Brooks,rocSPARSE,Backlog,ROCm 6.2,2026-02-15,Duplicate
ROCm-1184,ROCm-SMI: Incorrect result from miopen_conv for large tensors,2026-02-19,Suman Dey,Low,S4 - Minor,Resolved,ROCm-SMI / Monitoring,Tools & Infra Team,Philips,David Kim,ROCm-SMI,ROCm 6.4,ROCm 6.3,2026-02-22,By Design
ROCm-1185,MIOpen: Performance regression after upgrading to ROCm 6.3,2025-10-22,Carlos Rivera,Medium,S4 - Minor,In Progress,MIOpen,Math Libraries Team,Kumar,David Kim,MIOpen,ROCm 7.0,ROCm 6.2,2025-12-31,
ROCm-1186,ROCm Installer: API rocblas_trsm not returning expected error code,2025-11-26,David Kim,Low,S4 - Minor,In Progress,ROCm Installer / Packaging,Release Engineering,Suma,Priya Sharma,ROCm Installer,ROCm 7.0,ROCm 6.1,2026-02-25,
ROCm-1187,ROCm Debugger (ROCgdb): ROCm-SMI reports wrong temperature for MI250,2025-10-20,Aisha Patel,Low,S4 - Minor,Closed,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Marcus Johnson,ROCm Debugger,ROCm 6.2,ROCm 6.3,2025-12-28,Fixed
ROCm-1188,RCCL (Comms): RCCL AllReduce giving wrong result with 8 GPUs,2026-01-12,Jake Thompson,High,S2 - Critical,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.3,ROCm 6.1,2026-02-02,
ROCm-1189,rocSPARSE: Build failure on Ubuntu 22.04 with ROCm 6.2,2026-01-17,David Kim,Low,S4 - Minor,In Progress,rocSPARSE,Math Libraries Team,Kumar,Jake Thompson,rocSPARSE,ROCm 6.2,ROCm 6.1,2026-02-16,
ROCm-1190,Compiler (rocm-llvm: HIP event timing reports negative duration,2026-02-12,Suman Dey,Medium,S3 - Major,Closed,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,Leila Nouri,Compiler,ROCm 7.0,ROCm 6.1,2026-02-25,Won't Fix
ROCm-1191,Documentation: API rccl_allreduce not returning expected error code,2025-11-12,Jake Thompson,Low,S4 - Minor,In Progress,Documentation,Documentation Team,Ravi,Leila Nouri,Documentation,Backlog,ROCm 6.3,2025-11-25,
ROCm-1192,rocSPARSE: API rocblas_gemm not returning expected error code,2026-01-03,Mei Liu,Low,S4 - Minor,Closed,rocSPARSE,Math Libraries Team,Kumar,Aisha Patel,rocSPARSE,ROCm 6.4,ROCm 6.3,2026-01-20,Fixed
ROCm-1193,Documentation: Kernel launch overhead increased by 2x in ROCm 6.2,2025-10-16,Ivan Petrov,Critical,S2 - Critical,Resolved,Documentation,Documentation Team,Ravi,Marcus Johnson,Documentation,ROCm 7.0,ROCm 6.3,2025-12-04,By Design
ROCm-1194,Compiler (rocm-llvm: API miopen_conv not returning expected error code,2025-11-21,David Kim,High,S2 - Critical,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,ROCm 7.0,ROCm 6.1,2026-01-21,
ROCm-1195,ROCm Debugger (ROCgdb): rocgdb breakpoints not hitting in device code,2025-12-22,Aisha Patel,Low,S4 - Minor,In Progress,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,David Kim,ROCm Debugger,ROCm 6.2,ROCm 6.3,2025-12-23,
ROCm-1196,rocFFT: Performance regression after upgrading to ROCm 6.2,2025-09-29,Rania Hassan,Medium,S3 - Major,In Progress,rocFFT,Math Libraries Team,Kumar,Yuki Tanaka,rocFFT,Backlog,ROCm 6.1,2025-12-17,
ROCm-1197,ROCm Debugger (ROCgdb): ROCm-SMI reports wrong temperature for MI250,2025-10-25,Yuki Tanaka,Low,S4 - Minor,Open,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,,ROCm Debugger,Backlog,ROCm 6.2,2026-02-28,
ROCm-1198,Performance: Documentation missing for rocblas_trsm edge cases,2026-01-14,Yuki Tanaka,Low,S4 - Minor,Resolved,Performance / Profiling,Tools & Infra Team,Philips,Ivan Petrov,Performance,ROCm 6.4,ROCm 6.1,2026-02-21,Fixed
ROCm-1199,Compiler (rocm-llvm: Kernel launch overhead increased by 2x in ROCm 6.2,2026-01-21,Priya Sharma,High,S2 - Critical,In Review,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,Rania Hassan,Compiler,ROCm 6.3,ROCm 6.3,2026-01-31,
ROCm-1200,rocSPARSE: Installer fails silently on RHEL 9.x,2026-01-26,Carlos Rivera,Medium,S4 - Minor,Resolved,rocSPARSE,Math Libraries Team,Kumar,Carlos Rivera,rocSPARSE,ROCm 7.0,ROCm 6.3,2026-02-03,Cannot Reproduce
ROCm-1201,HIP Runtime: Build failure on Ubuntu 22.04 with ROCm 6.1,2025-11-16,Alex Chen,Medium,S4 - Minor,Open,HIP Runtime,Runtime Team,SAM,,HIP Runtime,ROCm 7.0,ROCm 6.2,2026-02-19,
ROCm-1202,ROCBlas: Hang detected in multi-GPU rocblas_gemm launch,2026-02-25,Suman Dey,Critical,S1 - Blocker,Closed,ROCBlas / Math Libraries,Math Libraries Team,Kumar,Alex Chen,ROCBlas,ROCm 7.0,ROCm 6.2,2026-02-28,Duplicate
ROCm-1203,Performance: Documentation missing for rocblas_gemm edge cases,2025-12-05,Ivan Petrov,Medium,S4 - Minor,In Progress,Performance / Profiling,Tools & Infra Team,Philips,Ivan Petrov,Performance,ROCm 6.4,ROCm 6.1,2026-02-27,
ROCm-1204,ROCm Debugger (ROCgdb): Crash observed on MI300X when calling hipMalloc,2025-10-14,Mei Liu,Low,S4 - Minor,In Review,ROCm Debugger (ROCgdb),Tools & Infra Team,Philips,Ivan Petrov,ROCm Debugger,Backlog,ROCm 6.2,2025-12-10,
ROCm-1205,MIOpen: Incorrect result from miopen_conv for large tensors,2026-01-13,Suman Dey,Medium,S3 - Major,Open,MIOpen,Math Libraries Team,Kumar,,MIOpen,ROCm 6.2,ROCm 6.1,2026-01-22,
ROCm-1206,ROCBlas: ROCm-SMI reports wrong temperature for MI250,2026-02-15,Fatima Al-Zahra,Medium,S3 - Major,Open,ROCBlas / Math Libraries,Math Libraries Team,Kumar,,ROCBlas,ROCm 6.2,ROCm 6.1,2026-02-16,
ROCm-1207,Driver: Documentation missing for rccl_allreduce edge cases,2025-09-10,Ivan Petrov,Medium,S3 - Major,In Review,Driver / KFD,Driver Team,SAM,Marcus Johnson,Driver,Backlog,ROCm 6.2,2025-09-24,
ROCm-1208,Compiler (rocm-llvm: Build failure on Ubuntu 22.04 with ROCm 6.2,2026-01-24,David Kim,Medium,S4 - Minor,Open,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,,Compiler,ROCm 6.2,ROCm 6.3,2026-02-26,
ROCm-1209,RCCL (Comms): rocgdb breakpoints not hitting in device code,2026-01-28,Suman Dey,Low,S4 - Minor,Resolved,RCCL (Comms),Runtime Team,SAM,Alex Chen,RCCL,Backlog,ROCm 6.2,2026-02-28,Duplicate
ROCm-1210,Compiler (rocm-llvm: Build failure on Ubuntu 22.04 with ROCm 6.2,2026-02-24,Ivan Petrov,Medium,S3 - Major,In Progress,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,Mei Liu,Compiler,ROCm 6.3,ROCm 6.2,2026-02-28,
ROCm-1211,Compiler (rocm-llvm: Incorrect result from miopen_conv for large tensors,2025-09-13,Jake Thompson,Medium,S4 - Minor,In Review,Compiler (rocm-llvm / HIP-Clang),Compiler Team,SAM,Aisha Patel,Compiler,ROCm 6.2,ROCm 6.2,2025-12-21,
ROCm-1212,RCCL (Comms): ROCm-SMI reports wrong temperature for MI250,2025-12-02,Ivan Petrov,High,S2 - Critical,Open,RCCL (Comms),Runtime Team,SAM,,RCCL,ROCm 6.2,ROCm 6.1,2026-02-26,
ROCm-1213,MIOpen: Crash observed on MI300X when calling miopen_conv,2026-01-27,Yuki Tanaka,Medium,S3 - Major,In Progress,MIOpen,Math Libraries Team,Kumar,Leila Nouri,MIOpen,ROCm 6.2,ROCm 6.3,2026-02-15,
